"","mag_id","mag_name","assembly_id","assembly_batch","mag_domain","mag_phylum","mag_class","mag_order","mag_family","mag_genus","mag_species","mag_closest_ani","mag_closest_af","mag_taxonomy","mag_completeness","mag_contamination","mag_size","mag_gc","mag_n50","mag_contigs","host_species"
"39","EHM012160","EHA00441_bin.8.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Clostridium_Q","s__",0,0,"Genus",75.45,3.8,2496542,"48.90%",5898,533,"Sciurus vulgaris"
"40","EHM012161","EHA00441_bin.9.fa","EHA00441","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Choladocola","s__",0,0,"Genus",92.84,1.58,3057536,"46.40%",42828,124,"Sciurus vulgaris"
"41","EHM012162","EHA00442_bin.1.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Alloprevotella","s__",78.4,0.24,"Genus",94.88,0.63,2417950,"57.40%",30655,548,"Sciurus vulgaris"
"42","EHM012163","EHA00442_bin.10.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Paramuribaculum","s__Paramuribaculum sp014801655",96.04,0.86,"Species",84.06,3.91,1960137,"53.90%",4193,211,"Sciurus vulgaris"
"43","EHM012164","EHA00442_bin.11.fa","EHA00442","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__",79.64,0.44,"Genus",77.34,0,1922297,"43.60%",12323,510,"Sciurus vulgaris"
"44","EHM012165","EHA00442_bin.12.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-485","s__",77.87,0.24,"Genus",64.62,2.59,2588502,"53.20%",6643,85,"Sciurus vulgaris"
"45","EHM012166","EHA00442_bin.13.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__",0,0,"Genus",72.02,1.93,2361377,"54.00%",46290,190,"Sciurus vulgaris"
"46","EHM012167","EHA00442_bin.14.fa","EHA00442","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__UBA3282","s__",80.96,0.58,"Genus",94.25,4.65,4434905,"41.40%",39341,124,"Sciurus vulgaris"
"47","EHM012168","EHA00442_bin.2.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-485","s__",94.71,0.56,"Genus",84.32,2.17,1984447,"47.20%",7004,345,"Sciurus vulgaris"
"48","EHM012169","EHA00442_bin.3.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Paramuribaculum","s__Paramuribaculum sp014802045",97.02,0.75,"Species",96.11,1.26,2598479,"51.70%",19909,190,"Sciurus vulgaris"
"49","EHM012170","EHA00442_bin.4.fa","EHA00442","ABB0111","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter_C","s__Helicobacter_C marmotae",98.42,0.92,"Species",99.35,0.82,2057779,"39.20%",45398,88,"Sciurus vulgaris"
"50","EHM012171","EHA00442_bin.5.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-485","s__CAG-485 sp014801595",95.66,0.59,"Species",72.88,0.59,1738985,"53.10%",17152,149,"Sciurus vulgaris"
"51","EHM012172","EHA00442_bin.6.fa","EHA00442","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__",92.95,0.89,"Genus",82.9,2.48,2799803,"51.50%",9864,376,"Sciurus vulgaris"
"52","EHM012173","EHA00442_bin.7.fa","EHA00442","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia","s__",77.44,0.2,"Genus",68.69,0.48,2352946,"46.40%",5762,464,"Sciurus vulgaris"
"53","EHM012174","EHA00442_bin.8.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__",80.25,0.45,"Genus",61.02,3.27,1868237,"49.60%",7936,347,"Sciurus vulgaris"
"54","EHM012175","EHA00442_bin.9.fa","EHA00442","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-485","s__CAG-485 sp014800245",95.23,0.71,"Species",96.28,1.51,2833403,"46.00%",30339,148,"Sciurus vulgaris"
"55","EHM012176","EHA00444_bin.1.fa","EHA00444","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-485","s__",94.81,0.72,"Genus",95.59,1.51,2352900,"47.00%",19794,391,"Sciurus vulgaris"
"56","EHM012177","EHA00444_bin.10.fa","EHA00444","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__",88.11,0.89,"Genus",51.3,1.52,1001420,"56.90%",2589,140,"Sciurus vulgaris"
"57","EHM012178","EHA00444_bin.11.fa","EHA00444","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__CAG-485","s__CAG-485 sp014800245",95.11,0.76,"Species",98.55,0.78,3232713,"45.70%",33895,399,"Sciurus vulgaris"
"58","EHM012179","EHA00444_bin.12.fa","EHA00444","ABB0111","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae","g__NHYN01","s__NHYN01 sp014799985",96.58,0.83,"Species",61.03,0.7,1223387,"51.30%",3355,134,"Sciurus vulgaris"
"59","EHM012180","EHA00444_bin.13.fa","EHA00444","ABB0111","d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Treponematales","f__Treponemataceae","g__Treponema_D","s__Treponema_D sp014804005",96.13,0.92,"Species",94.09,0,2136131,"47.50%",27225,211,"Sciurus vulgaris"
"60","EHM012181","EHA00444_bin.2.fa","EHA00444","ABB0111","d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Treponematales","f__Treponemataceae","g__Treponema_D","s__Treponema_D sp014803985",97.75,0.85,"Species",98.6,0,2514852,"40.20%",50539,79,"Sciurus vulgaris"
"61","EHM012182","EHA00444_bin.3.fa","EHA00444","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Acetatifactor","s__",83.87,0.58,"Genus",94.44,4.98,4696560,"49.20%",41221,173,"Sciurus vulgaris"
"62","EHM012183","EHA00444_bin.4.fa","EHA00444","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__COE1","s__",0,0,"Genus",89.1,2.92,3741995,"45.70%",32110,156,"Sciurus vulgaris"
"63","EHM012184","EHA00444_bin.5.fa","EHA00444","ABB0111","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas aeruginosa",98.79,0.88,"Species",98.21,0.84,6626997,"66.10%",27301,394,"Sciurus vulgaris"
"64","EHM012185","EHA00444_bin.6.fa","EHA00444","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__RGIG4057","s__",83.17,0.73,"Genus",80.19,3.15,3633743,"48.40%",3977,1019,"Sciurus vulgaris"
"65","EHM012186","EHA00444_bin.7.fa","EHA00444","ABB0111","d__Bacteria","p__Campylobacterota","c__Campylobacteria","o__Campylobacterales","f__Helicobacteraceae","g__Helicobacter_C","s__Helicobacter_C marmotae",98.44,0.94,"Species",99.35,0.82,1967061,"39.40%",81869,67,"Sciurus vulgaris"
"66","EHM012187","EHA00444_bin.8.fa","EHA00444","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Rikenellaceae","g__Alistipes","s__Alistipes sp014796635",97.72,0.71,"Species",75.56,6.76,1423925,"62.60%",4075,402,"Sciurus vulgaris"
"67","EHM012188","EHA00444_bin.9.fa","EHA00444","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__UBA3282","s__",84.1,0.71,"Genus",95.59,3.08,4512483,"43.00%",17454,355,"Sciurus vulgaris"
"68","EHM012189","EHA00445_bin.1.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__UBA5884","s__",82.9,0.81,"Genus",97.31,1.01,2860160,"31.80%",54638,86,"Sciurus vulgaris"
"69","EHM012190","EHA00445_bin.10.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Choladocola","s__",78.72,0.27,"Genus",66.23,6.17,2528667,"46.40%",52679,514,"Sciurus vulgaris"
"70","EHM012191","EHA00445_bin.11.fa","EHA00445","ABB0111","d__Bacteria","p__Cyanobacteriota","c__Vampirovibrionia","o__Gastranaerophilales","f__Gastranaerophilaceae","g__Zag111","s__Zag111 sp003258735",97.74,0.88,"Species",77.74,2.14,1708656,"33.30%",3698,220,"Sciurus vulgaris"
"71","EHM012192","EHA00445_bin.12.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Butyricicoccaceae","g__QXXE01","s__",0,0,"Genus",92.93,0.84,2197260,"58.90%",13872,137,"Sciurus vulgaris"
"72","EHM012193","EHA00445_bin.13.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_C","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium_A","s__Phascolarctobacterium_A sp905212365",97.07,0.85,"Species",97.5,0.3,1965047,"50.60%",21187,490,"Sciurus vulgaris"
"73","EHM012194","EHA00445_bin.14.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculum","s__Muribaculum sp019420545",97.19,0.86,"Species",73.76,2.53,2212977,"54.30%",5105,341,"Sciurus vulgaris"
"74","EHM012195","EHA00445_bin.15.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp900767615",95.82,0.84,"Species",82.66,1.94,2641980,"47.60%",11480,385,"Sciurus vulgaris"
"75","EHM012196","EHA00445_bin.16.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Acutalibacteraceae","g__Eubacterium_R","s__",0,0,"Genus",78.73,0.94,1400643,"37.30%",4296,153,"Sciurus vulgaris"
"76","EHM012197","EHA00445_bin.17.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp905216025",97.55,0.91,"Species",97.01,1.94,2807517,"54.90%",28988,57,"Sciurus vulgaris"
"77","EHM012198","EHA00445_bin.18.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Alloprevotella","s__",78.35,0.22,"Genus",93.6,0.22,2609082,"56.30%",68069,151,"Sciurus vulgaris"
"78","EHM012199","EHA00445_bin.19.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Phocaeicola sp900551645",98.38,0.65,"Species",62.41,1.72,2611921,"44.10%",32599,105,"Sciurus vulgaris"
"79","EHM012200","EHA00445_bin.2.fa","EHA00445","ABB0111","d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Burkholderiales","f__Burkholderiaceae_A","g__Sutterella","s__Sutterella sp905206365",98.88,0.87,"Species",96.89,0.62,2379313,"62.00%",20553,774,"Sciurus vulgaris"
"80","EHM012201","EHA00445_bin.20.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Eisenbergiella","s__",0,0,"Genus",57.07,0.86,2448404,"53.10%",3450,40,"Sciurus vulgaris"
"81","EHM012202","EHA00445_bin.21.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__UBA3282","s__",83.9,0.75,"Genus",98.85,0.67,3290908,"42.20%",112614,637,"Sciurus vulgaris"
"82","EHM012203","EHA00445_bin.22.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__CAJMNU01","s__",77.45,0.2,"Genus",84.53,2.8,2847435,"45.60%",5478,132,"Sciurus vulgaris"
"83","EHM012204","EHA00445_bin.23.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Dysosmobacter","s__",0,0,"Genus",82.97,5.09,2738865,"59.50%",32263,59,"Sciurus vulgaris"
"84","EHM012205","EHA00445_bin.24.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp900553965",97.37,0.68,"Species",69.07,0.12,2301407,"54.00%",55848,389,"Sciurus vulgaris"
"85","EHM012206","EHA00445_bin.25.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Faecalibacterium","s__",0,0,"Genus",91.77,2.69,2616997,"61.80%",8997,180,"Sciurus vulgaris"
"86","EHM012207","EHA00445_bin.26.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Phocaeicola","s__Phocaeicola plebeius_A",96.14,0.74,"Species",95.86,0.93,3637240,"44.20%",33466,61,"Sciurus vulgaris"
"87","EHM012208","EHA00445_bin.27.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__HGM12587","s__",0,0,"Genus",96.51,0,2343468,"43.30%",72834,249,"Sciurus vulgaris"
"88","EHM012209","EHA00445_bin.3.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp900547005",96.69,0.73,"Species",70.7,0,2166567,"47.10%",57584,57,"Sciurus vulgaris"
"89","EHM012210","EHA00445_bin.4.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Duncaniella","s__Duncaniella sp001701225",97.82,0.84,"Species",88.43,1.13,2621068,"56.80%",10585,420,"Sciurus vulgaris"
"90","EHM012211","EHA00445_bin.5.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Duncaniella","s__Duncaniella sp019416285",95.54,0.85,"Species",89.05,0.39,2821473,"53.90%",26624,155,"Sciurus vulgaris"
"91","EHM012212","EHA00445_bin.6.fa","EHA00445","ABB0111","d__Bacteria","p__Bacillota_A","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Gemmiger","s__Gemmiger sp900545545",96.51,0.82,"Species",97.64,0.02,2971895,"58.60%",89087,61,"Sciurus vulgaris"
"92","EHM012213","EHA00445_bin.8.fa","EHA00445","ABB0111","d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Prevotella","s__Prevotella sp015074785",96.14,0.77,"Species",97.63,3.49,3556796,"45.20%",53170,111,"Sciurus vulgaris"
