assembly_length	assembly_n50	assembly_l50	assembly_num_contigs	assembly_largest_contig	assembly_num_bins	assembly_input_id	assembly_type	sequence_id	assembly_id	assembly_input_bases	preprocessing_id
0	0	0	0	0	0	EHA03881	Individual	EHI02427	EHA03881	1731516578	PR03113
463456275	2949	27426	149601	558506	76	EHA01719	Coassembly	EHI01112	EHA01709	0	PR01914
453575339	7423	11579	93430	524901	93	EHA01450	Coassembly	EHI00744	EHA01447	4723029455	PR01366
137177072	9235	2249	24780	484076	22	EHA03927	Individual	EHI02343	EHA03927	4941951152	PR03051
1647390529	4933	66555	413533	714601	266	EHA03276	Coassembly	EHI02059	EHA03257	8135539738	PR02709
0	0	0	0	0	0	EHA02471	Individual	EHI01518	EHA02471	1998437469	PR02458
455379235	8066	9993	90601	362589	87	EHA01504	Coassembly	EHI00106	EHA01500	3945591141	PR00710
463456275	2949	27426	149601	558506	76	EHA01728	Coassembly	EHI01124	EHA01709	0	PR01923
287444669	11836	4466	49439	627362	75	EHA04410	Individual	EHI02639	EHA04410	10202024014	PR03316
201880719	15674	2241	29519	625964	47	EHA03053	Individual	EHI01742	EHA03053	8425674130	PR02583
0	0	0	0	0	0	EHA03732	Coassembly	EHI02223	EHA03694	2879519836	PR02791
75622682	4165	3679	20595	137840	18	EHA02106	Individual	EHI01251	EHA02106	3568127607	PR02194
0	0	0	0	0	0	EHA03651	Coassembly	EHI02150	EHA03651	8225668108	PR02758
211887523	16653	2311	30514	1054675	37	EHA01219	Individual	EHI01047	EHA01219	6619285861	PR01520
177287905	21612	1658	23463	683910	34	EHA03417	Individual	EHI02176	EHA03417	5724899650	PR02802
0	0	0	0	0	0	EHA01246	Individual	EHI00897	EHA01246	1370636725	PR01587
0	0	0	0	0	0	EHA01311	Individual	EHI00857	EHA01311	868330517	PR01699
1464456436	13746	20760	222042	565711	431	EHA02499	Coassembly	EHI01497	EHA02488	5079936726	PR02396
0	0	0	0	0	0	EHA03718	Coassembly	EHI02206	EHA03694	4207633886	PR02784
463456275	2949	27426	149601	558506	76	EHA01724	Coassembly	EHI01119	EHA01709	0	PR01919
227857486	4599	9753	57241	316893	47	EHA03496	Coassembly	EHI02104	EHA03494	3548643728	PR02859
0	0	0	0	0	0	EHA03685	Coassembly	EHI00698	EHA03651	2117738762	PR01334
89701148	4683	3881	23646	175510	27	EHA01672	Coassembly	EHI01195	EHA01666	2202403704	PR01991
279345842	2592	28926	102414	552101	9	EHA04223	Coassembly	EHI02378	EHA04220	4527646329	PR03101
798986944	7272	20391	167600	580110	155	EHA01520	Coassembly	EHI00126	EHA01514	1722653615	PR00728
436381348	14340	5626	68515	359391	116	EHA02604	Coassembly	EHI01483	EHA02599	4520936787	PR02438
566825615	10022	10620	103572	417477	135	EHA01406	Coassembly	EHI00698	EHA01404	2117738762	PR01334
0	0	0	0	0	0	EHA04360	Individual	EHI02661	EHA04360	5334311427	PR03266
348121500	5235	13644	83797	245347	79	EHA03539	Coassembly	EHI02098	EHA03536	5418680977	PR02902
0	0	0	0	0	0	EHA02259	Individual	EHI01536	EHA02259	1033576843	PR02344
0	0	0	0	0	0	EHA03056	Individual	EHI01749	EHA03056	1271077363	PR02586
51179643	6256	1166	11433	867651	13	EHA02262	Individual	EHI01540	EHA02262	2336358896	PR02348
807439689	11798	13859	127680	616705	236	EHA01980	Coassembly	EHI01325	EHA01958	3495571363	PR02131
1647390529	4933	66555	413533	714601	266	EHA03279	Coassembly	EHI02062	EHA03257	2258502488	PR02712
97836837	7296	2942	19956	234191	14	EHA00689	Individual	EHI00727	EHA00689	3334917431	PR01362
541348973	4040	28673	151194	367774	55	EHA04048	Coassembly	EHI02556	EHA04031	4284213109	PR03208
465344304	8422	11925	90990	366756	85	EHA01533	Coassembly	EHI00073	EHA01533	2491173198	PR00686
0	0	0	0	0	0	EHA04015	Individual	EHI02407	EHA04015	1802030359	PR03037
641459359	7236	15525	130811	961051	95	EHA04161	Coassembly	EHI02473	EHA04140	2633458682	PR03156
121800138	11339	1805	20093	975885	38	EHA02787	Coassembly	EHI01218	EHA02786	3799922093	PR02004
142132680	13021	1756	23312	490074	28	EHA00432	Individual	EHI00405	EHA00432	3720320594	PR00912
505466536	4447	23129	134692	570027	136	EHA02816	Coassembly	EHI01592	EHA02814	5249332562	PR02314
447224134	10308	8205	80825	988467	61	EHA02212	Coassembly	EHI01235	EHA02205	1346621380	PR02050
110461331	4706	4800	27976	400198	37	EHA02688	Individual	EHI01608	EHA02688	3214349967	PR02320
0	0	0	0	0	0	EHA04539	Coassembly	EHI02541	EHA04539	3713335850	PR03193
144651689	8914	2556	27523	628146	36	EHA03569	Individual	EHI02269	EHA03569	6441482263	PR02932
211858668	12740	3080	33963	543858	38	EHA00661	Individual	EHI00695	EHA00661	5365124132	PR01331
349771679	7239	8511	71661	766574	83	EHA02744	Coassembly	EHI00561	EHA02743	4691209870	PR00991
0	0	0	0	0	0	EHA03070	Individual	EHI01783	EHA03070	3388894378	PR02608
0	0	0	0	0	0	EHA03973	Individual	EHI02394	EHA03973	4461252236	PR03061
161630734	5946	5402	36872	170134	40	EHA02150	Coassembly	EHI01266	EHA02149	4035697548	PR02217
160131811	11542	1998	28399	593017	31	EHA01198	Coassembly	EHI00127	EHA01190	3181469022	PR01129
80809636	6844	2140	17368	272750	15	EHA00720	Individual	EHI00707	EHA00720	2058721840	PR01396
226763658	5759	6810	52405	353864	59	EHA02394	Coassembly	EHI01449	EHA02392	2469268928	PR02279
0	0	0	0	0	0	EHA03667	Coassembly	EHI02215	EHA03651	4231987716	PR02761
568051572	13093	8888	85954	381120	163	EHA01938	Coassembly	EHI01299	EHA01929	6362870675	PR02105
57700261	5378	1514	13300	834877	16	EHA02834	Coassembly	EHI00835	EHA02833	10991545803	PR01424
74871092	3464	2283	21748	797288	11	EHA03026	Individual	EHI01668	EHA03026	5793736669	PR02485
299293199	2970	23894	99969	448697	22	EHA04411	Coassembly	EHI02693	EHA04411	6434592808	PR03317
109872983	14642	1503	16325	401117	30	EHA01926	Individual	EHI01383	EHA01926	6144454295	PR02141
0	0	0	0	0	0	EHA03793	Coassembly	EHI02199	EHA03781	5479383578	PR02832
463456275	2949	27426	149601	558506	76	EHA01757	Coassembly	EHI01087	EHA01709	901666067	PR01952
909893271	2311	124546	373793	359959	54	EHA02627	Coassembly	EHI01637	EHA02611	2955389714	PR02248
1368849819	5662	48833	319992	454883	423	EHA02124	Coassembly	EHI01255	EHA02119	2323740860	PR02196
86639616	4673	2544	21506	822392	20	EHA04167	Coassembly	EHI02448	EHA04163	1710527677	PR03158
453575339	7423	11579	93430	524901	93	EHA01451	Coassembly	EHI00754	EHA01447	3214627263	PR01367
105116049	12792	1579	16478	304634	34	EHA01893	Individual	EHI01324	EHA01893	5412338431	PR02130
455379235	8066	9993	90601	362589	87	EHA01500	Coassembly	EHI00179	EHA01500	3332819503	PR00742
577850093	12939	7846	94070	574231	150	EHA02556	Coassembly	EHI01457	EHA02549	3512740959	PR02428
0	0	0	0	0	0	EHA01809	Coassembly	EHI00395	EHA01805	3778964518	PR00953
0	0	0	0	0	0	EHA04290	Individual	EHI02626	EHA04290	3528358847	PR03363
0	0	0	0	0	0	EHA03846	Individual	EHI02553	EHA03846	1049492084	PR03205
43513068	5059	1671	10890	201785	9	EHA00265	Individual	EHI00002	EHA00265	1394358496	PR00679
149978018	14145	1921	24863	268458	33	EHA00688	Individual	EHI00726	EHA00688	4686635776	PR01361
7548588	7400	252	1463	108893	1	EHA02782	Coassembly	EHI00947	EHA02782	820091082	PR01705
754838256	7877	17516	151206	401604	172	EHA02752	Coassembly	EHI01022	EHA02748	3685486363	PR01637
59518393	9246	917	11559	384663	17	EHA02338	Individual	EHI01450	EHA02338	3082906760	PR02280
506822291	10072	9907	90592	1159636	135	EHA02383	Coassembly	EHI01626	EHA02378	3279167422	PR02300
101489204	9931	1804	18198	301871	28	EHA01875	Individual	EHI01294	EHA01875	3932186602	PR02100
142877109	4715	6087	35790	354638	27	EHA02351	Individual	EHI01619	EHA02351	4685314810	PR02293
0	0	0	0	0	0	EHA03937	Individual	EHI02494	EHA03937	2167818665	PR03238
34735705	10821	467	5587	365975	5	EHA04248	Coassembly	EHI01780	EHA04247	1432543025	PR02607
122489757	1976	17603	53967	165377	13	EHA01600	Coassembly	EHI01120	EHA01598	0	PR01920
0	0	0	0	0	0	EHA02015	Individual	EHI01378	EHA02015	2903835640	PR02176
0	0	0	0	0	0	EHA03658	Coassembly	EHI00742	EHA03651	5095352709	PR01341
95981786	6754	2473	20780	281521	20	EHA02755	Coassembly	EHI00532	EHA02755	1635018507	PR00994
820060661	12153	12810	130909	476102	250	EHA02592	Coassembly	EHI01526	EHA02583	4598882145	PR02407
0	0	0	0	0	0	EHA00549	Individual	EHI00132	EHA00549	997005124	PR01130
0	0	0	0	0	0	EHA00408	Individual	EHI00509	EHA00408	830413138	PR00875
124939631	29531	729	17355	739270	32	EHA00456	Individual	EHI00600	EHA00456	4966612685	PR00942
969157718	9764	19404	174492	669655	217	EHA03369	Coassembly	EHI01985	EHA03363	5462273038	PR02662
0	0	0	0	0	0	EHA00521	Individual	EHI00337	EHA00521	1103967906	PR01067
162022685	2500	17804	61078	335949	13	EHA03023	Individual	EHI01676	EHA03023	8911526671	PR02493
174498557	7210	3874	36949	747822	38	EHA02301	Coassembly	EHI01245	EHA02293	2602476050	PR02060
222437844	12666	3169	37441	770555	39	EHA00349	Individual	EHI00484	EHA00349	6643343827	PR00786
109586252	12959	1297	19465	519711	27	EHA02329	Individual	EHI01441	EHA02329	3190616931	PR02271
107306004	8220	2219	21398	445464	23	EHA02480	Individual	EHI01552	EHA02480	4074082206	PR02467
204842001	14958	2855	30622	500137	31	EHA03992	Individual	EHI01857	EHA03992	5771494212	PR03011
174498557	7210	3874	36949	747822	38	EHA02305	Coassembly	EHI01246	EHA02293	8234807138	PR02061
78429801	5272	2490	18801	819865	23	EHA00735	Individual	EHI00818	EHA00735	5591124650	PR01419
0	0	0	0	0	0	EHA00739	Individual	EHI00810	EHA00739	3730403483	PR01423
237169527	19198	1836	37444	1060130	44	EHA03044	Individual	EHI01814	EHA03044	9390134327	PR02571
218251508	6056	6035	49476	511974	46	EHA04126	Coassembly	EHI00213	EHA04125	4043906273	PR01157
0	0	0	0	0	0	EHA03571	Individual	EHI02228	EHA03571	2201510359	PR02934
463456275	2949	27426	149601	558506	76	EHA01720	Coassembly	EHI01113	EHA01709	0	PR01915
79935372	5116	3871	19801	223738	9	EHA03844	Individual	EHI02552	EHA03844	4727117379	PR03204
58325492	10996	1032	9682	472202	18	EHA03059	Individual	EHI01754	EHA03059	2461359055	PR02589
93762889	16988	832	15412	1250982	21	EHA02942	Coassembly	EHI00798	EHA02940	2235645259	PR01463
174498557	7210	3874	36949	747822	38	EHA02299	Coassembly	EHI01243	EHA02293	2666326905	PR02058
1647390529	4933	66555	413533	714601	266	EHA03271	Coassembly	EHI02054	EHA03257	6962996160	PR02704
447224134	10308	8205	80825	988467	61	EHA02233	Coassembly	EHI01157	EHA02205	0	PR02006
89644387	9123	1491	17421	410367	17	EHA00440	Individual	EHI00453	EHA00440	2603071706	PR00921
0	0	0	0	0	0	EHA00526	Individual	EHI00013	EHA00526	968487273	PR01078
1739592354	12630	26738	272652	701363	520	EHA02579	Coassembly	EHI01463	EHA02565	6143774948	PR02378
0	0	0	0	0	0	EHA03704	Coassembly	EHI02151	EHA03694	5674462562	PR02764
436381348	14340	5626	68515	359391	116	EHA02605	Coassembly	EHI01486	EHA02599	3506858483	PR02441
11335875	2395	1323	4432	60408	1	EHA01684	Coassembly	EHI01141	EHA01676	0	PR01979
61849766	34495	280	8058	460359	10	EHA00425	Individual	EHI00374	EHA00425	3939912203	PR00905
92187311	5751	2775	21053	343578	20	EHA03250	Individual	EHI02057	EHA03250	3934536632	PR02707
1489552796	7317	37095	305058	485840	370	EHA03606	Coassembly	EHI02252	EHA03601	6611716672	PR02924
481086028	3545	28621	138853	405021	35	EHA00218	Coassembly	EHI00540	EHA00216	3478991543	PR01238
0	0	0	0	0	0	EHA00411	Individual	EHI00546	EHA00411	1272893251	PR00881
116927263	12920	1785	18381	287560	29	EHA01252	Individual	EHI00925	EHA01252	3745834481	PR01598
0	0	0	0	0	0	EHA00424	Individual	EHI00371	EHA00424	3546261854	PR00904
115290809	6382	3023	25079	585962	26	EHA00922	Coassembly	EHI00627	EHA00918	850670804	PR00945
629982618	8601	15475	116923	609799	112	EHA01466	Coassembly	EHI00567	EHA01462	6351791723	PR00810
0	0	0	0	0	0	EHA00511	Individual	EHI00223	EHA00511	1169706633	PR01050
0	0	0	0	0	0	EHA03690	Coassembly	EHI00687	EHA03651	1243450710	PR01323
104197215	10367	1329	21328	674002	13	EHA00213	Coassembly	EHI00581	EHA00211	3435932522	PR01250
2216676708	4548	139926	566720	535592	83	EHA02662	Coassembly	EHI01647	EHA02637	6193040094	PR02239
171608380	5709	4919	38830	628573	34	EHA02413	Individual	EHI01469	EHA02413	4621358927	PR02384
0	0	0	0	0	0	EHA03067	Individual	EHI01766	EHA03067	3313786830	PR02605
463456275	2949	27426	149601	558506	76	EHA01778	Coassembly	EHI01130	EHA01709	0	PR01973
53056798	2671	5825	19565	109204	7	EHA03854	Individual	EHI02540	EHA03854	4739448323	PR03192
118088280	10758	1727	21401	531772	30	EHA00497	Individual	EHI00556	EHA00497	3840344742	PR00995
0	0	0	0	0	0	EHA02695	Individual	EHI01350	EHA02695	3708485937	PR02077
154787763	22111	2031	13531	182592	6	EHA02200	Individual	EHI01170	EHA02200	5096503442	PR02018
1946511576	5111	75641	450507	869648	280	EHA03107	Coassembly	EHI01806	EHA03104	2061748753	PR02564
90812823	7894	2013	18421	338853	38	EHA01567	Individual	EHI01177	EHA01567	3419838887	PR02000
1946511576	5111	75641	450507	869648	280	EHA03111	Coassembly	EHI01810	EHA03104	4419491432	PR02568
0	0	0	0	0	0	EHA00506	Individual	EHI00297	EHA00506	3377673550	PR01044
463456275	2949	27426	149601	558506	76	EHA01749	Coassembly	EHI01191	EHA01709	0	PR01944
0	0	0	0	0	0	EHA03034	Individual	EHI01756	EHA03034	811689768	PR02560
95009323	24681	645	14553	756915	19	EHA00714	Individual	EHI00749	EHA00714	3966872786	PR01390
463456275	2949	27426	149601	558506	76	EHA01745	Coassembly	EHI01184	EHA01709	1261113152	PR01940
0	0	0	0	0	0	EHA00789	Individual	EHI00846	EHA00789	797102900	PR01492
267963341	13999	3265	42124	666529	67	EHA02564	Coassembly	EHI01474	EHA02559	3483421244	PR02435
43011121	3930	2054	12016	214861	12	EHA02108	Individual	EHI01255	EHA02108	2323740860	PR02196
119656353	10588	1738	21135	753638	28	EHA00528	Individual	EHI00025	EHA00528	3362054146	PR01090
991545569	8772	22842	184321	400504	217	EHA01862	Coassembly	EHI01080	EHA01856	6974639487	PR01684
78967787	8284	1349	15198	392153	16	EHA00372	Individual	EHI00142	EHA00372	3769807332	PR00816
330447244	9549	5798	61746	488728	74	EHA01441	Coassembly	EHI00672	EHA01439	2479040467	PR01355
0	0	0	0	0	0	EHA03808	Coassembly	EHI02289	EHA03781	4063953102	PR02961
541348973	4040	28673	151194	367774	55	EHA04042	Coassembly	EHI02550	EHA04031	3231286292	PR03202
0	0	0	0	0	0	EHA03826	Individual	EHI02358	EHA03826	3453335160	PR03067
100811436	18799	1188	15030	365490	14	EHA03901	Individual	EHI02354	EHA03901	3934519865	PR03073
58519760	5300	1696	13591	485562	12	EHA00196	Coassembly	EHI00348	EHA00196	1081991207	PR01205
237001200	23565	1978	30696	1040167	51	EHA03503	Coassembly	EHI02093	EHA03500	3290731635	PR02866
122489757	1976	17603	53967	165377	13	EHA01606	Coassembly	EHI01193	EHA01598	0	PR01946
108428901	5964	2890	24909	337629	28	EHA03591	Individual	EHI02287	EHA03591	4398999777	PR02954
89437897	3426	6072	27636	346673	15	EHA04372	Individual	EHI02673	EHA04372	15674777823	PR03278
161458317	13134	2433	23860	503607	28	EHA00712	Individual	EHI00741	EHA00712	4243852430	PR01388
12505983	12026	229	2196	117568	2	EHA01366	Coassembly	EHI00837	EHA01363	1212472145	PR01489
466520660	10749	7480	84200	489436	93	EHA01425	Coassembly	EHI00683	EHA01421	1930783069	PR01319
754838256	7877	17516	151206	401604	172	EHA02754	Coassembly	EHI01361	EHA02748	3690294629	PR02073
159667735	7517	3423	32236	331465	36	EHA00297	Individual	EHI00111	EHA00297	4776539546	PR00714
0	0	0	0	0	0	EHA01822	Coassembly	EHI00551	EHA01816	2549069771	PR00968
174441883	9788	3304	33165	396130	31	EHA04076	Coassembly	EHI02407	EHA04072	1802030359	PR03037
909531124	4917	36127	227179	515382	168	EHA03638	Coassembly	EHI02226	EHA03631	6974441772	PR02939
463456275	2949	27426	149601	558506	76	EHA01783	Coassembly	EHI01138	EHA01709	0	PR01978
568051572	13093	8888	85954	381120	163	EHA01956	Coassembly	EHI01331	EHA01929	3511673995	PR02137
174441883	9788	3304	33165	396130	31	EHA04080	Coassembly	EHI02464	EHA04072	2276248441	PR03182
463456275	2949	27426	149601	558506	76	EHA01785	Coassembly	EHI01145	EHA01709	0	PR01980
0	0	0	0	0	0	EHA03028	Individual	EHI01669	EHA03028	2250961187	PR02486
171148298	9168	3669	31756	405294	21	EHA00323	Individual	EHI00178	EHA00323	3967239799	PR00741
1946511576	5111	75641	450507	869648	280	EHA03109	Coassembly	EHI01808	EHA03104	3962899698	PR02566
0	0	0	0	0	0	EHA02040	Individual	EHI01379	EHA02040	1144509948	PR02177
2125007329	4467	139379	551883	800860	64	EHA03150	Coassembly	EHI01822	EHA03138	13312271862	PR02644
2216676708	4548	139926	566720	535592	83	EHA02655	Coassembly	EHI01184	EHA02637	1261113152	PR01940
18617949	31003	134	1731	244910	3	EHA01383	Coassembly	EHI00863	EHA01383	2528259809	PR01723
19286468	16222	192	2732	312373	5	EHA00200	Coassembly	EHI00397	EHA00198	3610335295	PR01212
519483657	10238	10161	89092	571259	102	EHA01542	Coassembly	EHI00092	EHA01539	5943716483	PR00699
0	0	0	0	0	0	EHA03945	Individual	EHI02445	EHA03945	3274542001	PR03135
101179190	9222	2199	19095	189733	21	EHA04401	Individual	EHI02612	EHA04401	3232703730	PR03307
541348973	4040	28673	151194	367774	55	EHA04040	Coassembly	EHI02548	EHA04031	2134608280	PR03200
94007364	14473	1157	15164	307524	22	EHA00429	Individual	EHI00391	EHA00429	2697233278	PR00909
309287921	9589	6234	57360	638983	79	EHA03347	Coassembly	EHI01975	EHA03347	7218268633	PR02675
420214266	4604	16607	108789	701171	76	EHA02313	Coassembly	EHI01531	EHA02310	3639696476	PR02339
0	0	0	0	0	0	EHA02986	Individual	EHI01702	EHA02986	4347374322	PR02519
0	0	0	0	0	0	EHA04421	Individual	EHI02649	EHA04421	6414498836	PR03382
122489757	1976	17603	53967	165377	13	EHA01609	Coassembly	EHI01233	EHA01598	1608285951	PR01951
641459359	7236	15525	130811	961051	95	EHA04149	Coassembly	EHI01228	EHA04140	991530631	PR02044
348121500	5235	13644	83797	245347	79	EHA03537	Coassembly	EHI02074	EHA03536	2167513252	PR02900
1124629521	15811	13513	162458	560388	295	EHA02529	Coassembly	EHI01462	EHA02526	5978499274	PR02432
0	0	0	0	0	0	EHA03802	Coassembly	EHI02190	EHA03781	4638262650	PR02827
0	0	0	0	0	0	EHA03742	Coassembly	EHI02155	EHA03694	1466752482	PR02766
257852036	12744	4252	40494	436202	45	EHA02792	Coassembly	EHI00212	EHA02792	5008160762	PR01187
223650128	10214	3794	39691	482052	42	EHA03586	Individual	EHI02281	EHA03586	8200744081	PR02949
139436118	14655	1770	19700	509326	18	EHA03930	Individual	EHI02346	EHA03930	4883178289	PR03052
1050224268	14005	13680	167084	592729	283	EHA02506	Coassembly	EHI01485	EHA02500	912091002	PR02440
505466536	4447	23129	134692	570027	136	EHA02818	Coassembly	EHI01600	EHA02814	2446651226	PR02316
0	0	0	0	0	0	EHA03967	Individual	EHI02448	EHA03967	1710527677	PR03158
494441136	4007	35174	137145	1322902	11	EHA00180	Coassembly	EHI00607	EHA00179	4216626686	PR01270
807439689	11798	13859	127680	616705	236	EHA01971	Coassembly	EHI01305	EHA01958	4200906995	PR02111
166032983	6701	3589	36758	667191	31	EHA04064	Coassembly	EHI00798	EHA04063	2235645259	PR01463
887427194	8930	18692	166186	520188	186	EHA04344	Coassembly	EHI02572	EHA04343	4880002446	PR03324
0	0	0	0	0	0	EHA03835	Individual	EHI02551	EHA03835	4397887818	PR03203
100683474	6808	2689	21395	261122	21	EHA02077	Individual	EHI01254	EHA02077	4234068488	PR02210
82398685	6298	2085	17997	448214	26	EHA00536	Individual	EHI00041	EHA00536	1886189859	PR01106
40780510	11611	629	7264	261017	14	EHA02083	Individual	EHI01265	EHA02083	5301020012	PR02216
641459359	7236	15525	130811	961051	95	EHA04157	Coassembly	EHI02414	EHA04140	3269416537	PR03139
492362205	8635	11884	93610	661772	98	EHA01460	Coassembly	EHI00473	EHA01458	6052535434	PR00780
119204888	9285	2076	23318	445867	19	EHA03906	Individual	EHI02367	EHA03906	3847704726	PR03077
50505584	6734	1289	10860	267140	9	EHA00721	Individual	EHI00708	EHA00721	1474058117	PR01397
237901222	7096	5797	49899	1035397	38	EHA01403	Coassembly	EHI00733	EHA01402	5045191845	PR01340
633588714	8740	14933	118080	620466	133	EHA01532	Coassembly	EHI00120	EHA01527	4528812896	PR00723
0	0	0	0	0	0	EHA01330	Individual	EHI00876	EHA01330	2211299663	PR01720
0	0	0	0	0	0	EHA04389	Individual	EHI02690	EHA04389	4802566955	PR03295
0	0	0	0	0	0	EHA01660	Individual	EHI01152	EHA01660	1262366627	PR01985
2216676708	4548	139926	566720	535592	83	EHA02643	Coassembly	EHI01635	EHA02637	12612458592	PR02232
198889305	8227	4491	37912	558506	49	EHA01643	Coassembly	EHI01147	EHA01634	0	PR01935
226763658	5759	6810	52405	353864	59	EHA02392	Coassembly	EHI01442	EHA02392	3222187443	PR02272
576026163	11554	9786	96535	529098	153	EHA04332	Coassembly	EHI02611	EHA04329	3278120539	PR03354
0	0	0	0	0	0	EHA03744	Coassembly	EHI02157	EHA03694	2419777905	PR02768
161156411	13734	1926	27930	515406	41	EHA03341	Coassembly	EHI01976	EHA03341	4529404525	PR02676
218251508	6056	6035	49476	511974	46	EHA04128	Coassembly	EHI02450	EHA04125	3632229569	PR03123
0	0	0	0	0	0	EHA00620	Individual	EHI00608	EHA00620	2656843309	PR01271
44547049	2147	4476	17339	292374	2	EHA04229	Coassembly	EHI02527	EHA04224	918558240	PR03241
612319526	3204	48767	197304	567033	26	EHA00189	Coassembly	EHI00186	EHA00187	1186014337	PR01193
807439689	11798	13859	127680	616705	236	EHA01983	Coassembly	EHI01382	EHA01958	6400784626	PR02140
0	0	0	0	0	0	EHA03715	Coassembly	EHI00744	EHA03694	4723029455	PR01366
160131811	11542	1998	28399	593017	31	EHA01199	Coassembly	EHI00132	EHA01190	997005124	PR01130
302445189	3558	19829	90410	244455	43	EHA04530	Coassembly	EHI02568	EHA04529	3017018525	PR03220
944766523	2323	133301	391191	230056	48	EHA03196	Coassembly	EHI01223	EHA03189	1720283008	PR01993
188385000	11872	2624	33163	595219	40	EHA02341	Individual	EHI01585	EHA02341	10280510481	PR02283
421083540	8174	8153	84925	507234	100	EHA00817	Coassembly	EHI00871	EHA00810	2394357538	PR01535
463456275	2949	27426	149601	558506	76	EHA01744	Coassembly	EHI01183	EHA01709	0	PR01939
103995905	6774	2925	21564	448380	26	EHA02363	Individual	EHI01631	EHA02363	2579726868	PR02305
463456275	2949	27426	149601	558506	76	EHA01759	Coassembly	EHI01094	EHA01709	0	PR01954
