ID,AB_batch,Type (from AB Batch),Host,assembly_ena_accession,Autonumber1,PreprocessedSample,EHI_number,Assembly_code,Coassembly_name,PR_batch,EHI_number_api,sample_type,assembly_length,N50,L50,num_contigs,largest_contig,num_bins,assembly_mapping_percent,metagenomic_bases,assembly_url,mag_url,mapping_url,Status,Nonpareil completeness,locality,Order,successful_assembly
EHA00179,ABB0137,Coassembly,Plecotus auritus,,179,PR01265,EHI00599,EHA00179,EHA00179,PRB0043,EHI00599,Faecal,494441136,4007,35174,137145,1322902,11,74.00,5022505982,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0137/EHA00179_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0137,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0137/PRB0043_EHI00599_EHA00179.bam,Done,0.8158,Cuenca,Chiroptera,1
EHA00180,ABB0137,Coassembly,Plecotus auritus,,180,PR01270,EHI00607,EHA00179,EHA00179,PRB0044,EHI00607,Faecal,494441136,4007,35174,137145,1322902,11,43.00,4216626686,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0137/EHA00179_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0137,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0137/PRB0044_EHI00607_EHA00179.bam,Done,0.8341,Cuenca,Chiroptera,1
EHA00181,ABB0137,Coassembly,Plecotus auritus,,181,PR01297,EHI00643,EHA00179,EHA00179,PRB0045,EHI00643,Faecal,494441136,4007,35174,137145,1322902,11,77.00,1627541452,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0137/EHA00179_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0137,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0137/PRB0045_EHI00643_EHA00179.bam,Done,0.7113,Cuenca,Chiroptera,1
EHA00182,ABB0137,Coassembly,Plecotus auritus,,182,PR01299,EHI00646,EHA00179,EHA00179,PRB0045,EHI00646,Faecal,494441136,4007,35174,137145,1322902,11,85.00,5486689466,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0137/EHA00179_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0137,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0137/PRB0045_EHI00646_EHA00179.bam,Done,0.8953,Cuenca,Chiroptera,1
EHA00183,ABB0138,Coassembly,Plecotus auritus,,183,PR01281,EHI00622,EHA00183,EHA00183,PRB0044,EHI00622,Faecal,35038211,24525,155,5024,1332266,9,25.00,2751940836,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0138/EHA00183_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0138,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0138/PRB0044_EHI00622_EHA00183.bam,Done,0.8545,Greater London,Chiroptera,1
EHA00184,ABB0138,Coassembly,Plecotus auritus,,184,PR01302,EHI00652,EHA00183,EHA00183,PRB0045,EHI00652,Faecal,35038211,24525,155,5024,1332266,9,69.00,2426662560,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0138/EHA00183_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0138,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0138/PRB0045_EHI00652_EHA00183.bam,Done,0.7533,Greater London,Chiroptera,1
EHA00185,ABB0139,Coassembly,Plecotus auritus,,185,PR01262,EHI00596,EHA00185,EHA00185,PRB0043,EHI00596,Anal/cloacal swab,6908778,2437,891,2758,17258,1,12.00,2099147907,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0139/EHA00185_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0139,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0139/PRB0043_EHI00596_EHA00185.bam,Done,0.9976,Lombardy,Chiroptera,1
EHA00186,ABB0139,Coassembly,Plecotus auritus,,186,PR01289,EHI00633,EHA00185,EHA00185,PRB0044,EHI00633,Anal/cloacal swab,6908778,2437,891,2758,17258,1,4.00,3077905518,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0139/EHA00185_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0139,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0139/PRB0044_EHI00633_EHA00185.bam,Done,0.9158,Lombardy,Chiroptera,1
EHA00187,ABB0140,Coassembly,Plecotus auritus,,187,PR01190,EHI00183,EHA00187,EHA00187,PRB0040,EHI00183,Faecal,612319526,3204,48767,197304,567033,26,65.00,3695907585,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0040_EHI00183_EHA00187.bam,Done,0.7381,Northumbria,Chiroptera,1
EHA00188,ABB0140,Coassembly,Plecotus auritus,,188,PR01192,EHI00185,EHA00187,EHA00187,PRB0040,EHI00185,Faecal,612319526,3204,48767,197304,567033,26,27.00,1357896491,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0040_EHI00185_EHA00187.bam,Done,0.6523,Northumbria,Chiroptera,1
EHA00189,ABB0140,Coassembly,Plecotus auritus,,189,PR01193,EHI00186,EHA00187,EHA00187,PRB0040,EHI00186,Faecal,612319526,3204,48767,197304,567033,26,60.00,1186014337,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0040_EHI00186_EHA00187.bam,Done,0.7082,Northumbria,Chiroptera,1
EHA00190,ABB0140,Coassembly,Plecotus auritus,,190,PR01194,EHI00187,EHA00187,EHA00187,PRB0040,EHI00187,Faecal,612319526,3204,48767,197304,567033,26,66.00,1438888956,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0040_EHI00187_EHA00187.bam,Done,0.7512,Northumbria,Chiroptera,1
EHA00191,ABB0140,Coassembly,Plecotus auritus,,191,PR01195,EHI00188,EHA00187,EHA00187,PRB0040,EHI00188,Faecal,612319526,3204,48767,197304,567033,26,73.00,78077637296,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0040_EHI00188_EHA00187.bam,Done,0.9940,Northumbria,Chiroptera,1
EHA00192,ABB0140,Coassembly,Plecotus auritus,,192,PR01196,EHI00189,EHA00187,EHA00187,PRB0040,EHI00189,Faecal,612319526,3204,48767,197304,567033,26,19.00,847895865,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0040_EHI00189_EHA00187.bam,Done,0.6750,Northumbria,Chiroptera,1
EHA00193,ABB0140,Coassembly,Plecotus auritus,,193,PR01236,EHI00523,EHA00187,EHA00187,PRB0042,EHI00523,Faecal,612319526,3204,48767,197304,567033,26,73.00,2681014152,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0042_EHI00523_EHA00187.bam,Done,0.7423,Northumbria,Chiroptera,1
EHA00194,ABB0140,Coassembly,Plecotus auritus,,194,PR01296,EHI00642,EHA00187,EHA00187,PRB0045,EHI00642,Faecal,612319526,3204,48767,197304,567033,26,72.00,2736773996,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0045_EHI00642_EHA00187.bam,Done,0.7189,Northumbria,Chiroptera,1
EHA00195,ABB0140,Coassembly,Plecotus auritus,,195,PR01444,EHI00804,EHA00187,EHA00187,PRB0056,EHI00804,Faecal,612319526,3204,48767,197304,567033,26,56.00,3988882898,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/EHA00187_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0140,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0140/PRB0056_EHI00804_EHA00187.bam,Done,0.7741,Northumbria,Chiroptera,1
EHA00196,ABB0141,Coassembly,Plecotus auritus,,196,PR01205,EHI00348,EHA00196,EHA00196,PRB0040,EHI00348,Faecal,58519760,5300,1696,13591,485562,12,55.00,1081991207,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0141/EHA00196_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0141,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0141/PRB0040_EHI00348_EHA00196.bam,Done,0.6175,Segovia,Chiroptera,1
EHA00197,ABB0141,Coassembly,Plecotus auritus,,197,PR01655,EHI00868,EHA00196,EHA00196,PRB0077,EHI00868,Faecal,58519760,5300,1696,13591,485562,12,20.00,1941981490,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0141/EHA00196_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0141,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0141/PRB0077_EHI00868_EHA00196.bam,Done,0.7923,Segovia,Chiroptera,1
EHA00198,ABB0142,Coassembly,Plecotus auritus,,198,PR01197,EHI00192,EHA00198,EHA00198,PRB0040,EHI00192,Faecal,19286468,16222,192,2732,312373,5,98.00,694329670,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0142/EHA00198_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0142,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0142/PRB0040_EHI00192_EHA00198.bam,Done,0.9969,Smolyan,Chiroptera,1
EHA00199,ABB0142,Coassembly,Plecotus auritus,,199,PR01210,EHI00366,EHA00198,EHA00198,PRB0041,EHI00366,Faecal,19286468,16222,192,2732,312373,5,63.00,1880717170,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0142/EHA00198_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0142,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0142/PRB0041_EHI00366_EHA00198.bam,Done,0.8391,Smolyan,Chiroptera,1
EHA00200,ABB0142,Coassembly,Plecotus auritus,,200,PR01212,EHI00397,EHA00198,EHA00198,PRB0041,EHI00397,Faecal,19286468,16222,192,2732,312373,5,0.00,3610335295,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0142/EHA00198_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0142,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0142/PRB0041_EHI00397_EHA00198.bam,Done,0.9983,Smolyan,Chiroptera,1
EHA00201,ABB0143,Coassembly,Plecotus auritus,,201,PR01217,EHI00431,EHA00201,EHA00201,PRB0041,EHI00431,Faecal,310703736,2856,26506,105115,789509,16,63.00,3026225170,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/EHA00201_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0143,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/PRB0041_EHI00431_EHA00201.bam,Done,0.6121,Stoke on Trent,Chiroptera,1
EHA00202,ABB0143,Coassembly,Plecotus auritus,,202,PR01228,EHI00474,EHA00201,EHA00201,PRB0041,EHI00474,Faecal,310703736,2856,26506,105115,789509,16,42.00,3173993174,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/EHA00201_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0143,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/PRB0041_EHI00474_EHA00201.bam,Done,0.9902,Stoke on Trent,Chiroptera,1
EHA00203,ABB0143,Coassembly,Plecotus auritus,,203,PR01230,EHI00485,EHA00201,EHA00201,PRB0042,EHI00485,Faecal,310703736,2856,26506,105115,789509,16,13.00,6683205784,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/EHA00201_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0143,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/PRB0042_EHI00485_EHA00201.bam,Done,0.8962,Stoke on Trent,Chiroptera,1
EHA00204,ABB0143,Coassembly,Plecotus auritus,,204,PR01234,EHI00511,EHA00201,EHA00201,PRB0042,EHI00511,Faecal,310703736,2856,26506,105115,789509,16,97.00,4341738423,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/EHA00201_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0143,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/PRB0042_EHI00511_EHA00201.bam,Done,0.9957,Stoke on Trent,Chiroptera,1
EHA00205,ABB0143,Coassembly,Plecotus auritus,,205,PR01276,EHI00615,EHA00201,EHA00201,PRB0044,EHI00615,Faecal,310703736,2856,26506,105115,789509,16,97.00,5005228933,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/EHA00201_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0143,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0143/PRB0044_EHI00615_EHA00201.bam,Done,0.8050,Stoke on Trent,Chiroptera,1
EHA00206,ABB0144,Coassembly,Plecotus auritus,,206,PR01232,EHI00502,EHA00206,EHA00206,PRB0042,EHI00502,Faecal,153389383,5040,3980,38816,878429,21,56.00,3817422342,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/EHA00206_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0144,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/PRB0042_EHI00502_EHA00206.bam,Done,0.9854,Sussex,Chiroptera,1
EHA00207,ABB0144,Coassembly,Plecotus auritus,,207,PR01242,EHI00571,EHA00206,EHA00206,PRB0042,EHI00571,Faecal,153389383,5040,3980,38816,878429,21,96.00,1166625770,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/EHA00206_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0144,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/PRB0042_EHI00571_EHA00206.bam,Done,0.7464,Sussex,Chiroptera,1
EHA00208,ABB0144,Coassembly,Plecotus auritus,,208,PR01290,EHI00634,EHA00206,EHA00206,PRB0045,EHI00634,Faecal,153389383,5040,3980,38816,878429,21,70.00,4831249105,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/EHA00206_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0144,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/PRB0045_EHI00634_EHA00206.bam,Done,0.8575,Sussex,Chiroptera,1
EHA00209,ABB0144,Coassembly,Plecotus auritus,,209,PR01293,EHI00637,EHA00206,EHA00206,PRB0045,EHI00637,Faecal,153389383,5040,3980,38816,878429,21,35.00,4317249413,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/EHA00206_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0144,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/PRB0045_EHI00637_EHA00206.bam,Done,0.7819,Sussex,Chiroptera,1
EHA00210,ABB0144,Coassembly,Plecotus auritus,,210,PR01308,EHI00660,EHA00206,EHA00206,PRB0045,EHI00660,Faecal,153389383,5040,3980,38816,878429,21,37.00,2310176112,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/EHA00206_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0144,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0144/PRB0045_EHI00660_EHA00206.bam,Done,0.6630,Sussex,Chiroptera,1
EHA00211,ABB0145,Coassembly,Plecotus auritus,,211,PR01200,EHI00291,EHA00211,EHA00211,PRB0040,EHI00291,Faecal,104197215,10367,1329,21328,674002,13,64.00,1144548563,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/EHA00211_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0145,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/PRB0040_EHI00291_EHA00211.bam,Done,0.9041,Viken,Chiroptera,1
EHA00212,ABB0145,Coassembly,Plecotus auritus,,212,PR01249,EHI00580,EHA00211,EHA00211,PRB0042,EHI00580,Faecal,104197215,10367,1329,21328,674002,13,71.00,4575147939,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/EHA00211_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0145,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/PRB0042_EHI00580_EHA00211.bam,Done,0.8443,Viken,Chiroptera,1
EHA00213,ABB0145,Coassembly,Plecotus auritus,,213,PR01250,EHI00581,EHA00211,EHA00211,PRB0043,EHI00581,Faecal,104197215,10367,1329,21328,674002,13,82.00,3435932522,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/EHA00211_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0145,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/PRB0043_EHI00581_EHA00211.bam,Done,0.5953,Viken,Chiroptera,1
EHA00214,ABB0145,Coassembly,Plecotus auritus,,214,PR01263,EHI00597,EHA00211,EHA00211,PRB0043,EHI00597,Faecal,104197215,10367,1329,21328,674002,13,48.00,1835681001,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/EHA00211_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0145,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/PRB0043_EHI00597_EHA00211.bam,Done,0.8706,Viken,Chiroptera,1
EHA00215,ABB0145,Coassembly,Plecotus auritus,,215,PR01300,EHI00648,EHA00211,EHA00211,PRB0045,EHI00648,Faecal,104197215,10367,1329,21328,674002,13,19.00,5972226431,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/EHA00211_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0145,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0145/PRB0045_EHI00648_EHA00211.bam,Done,0.8703,Viken,Chiroptera,1
EHA00216,ABB0146,Coassembly,Plecotus auritus,,216,PR01237,EHI00531,EHA00216,EHA00216,PRB0042,EHI00531,Faecal,481086028,3545,28621,138853,405021,35,64.00,5202374307,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0146/EHA00216_contigs.fasta.gz,https://sid.erda.dk/cgi-sid/ls.py?share_id=BaMZodj9sA&current_dir=MAG/ABB0146,https://sid.erda.dk/share_redirect/BaMZodj9sA/ASB/ABB0146/PRB0042_EHI00531_EHA00216.bam,Done,0.8666,"Wales, Chepstow",Chiroptera,1
