LI Code,LI Batch,Library barcode,Sample,EX Sample,Library replicate,Coordinates,Purpose,Input volume,Input DNA (ng),EX concentration (ng/ul),Adaptor nM,Required PCR cycles,Adaptor dimers,Notes,Indexed libraries,Number of indexed libraries,Sequencing datasets,Autonumber,Autonumber2,IN (Indexing),EX (Extraction),QPCR QC,Sampling date,Latitude reduced,Longitude reduced,Country,Biome,Environment,Type,Species,Taxid,Common name,Development,Length (mm),Weight (g),Sex,Specimen,Number of sequencing datasets,Total data (GB),Host data (GB),Metagenomic data (GB),number_bins,BioProject,SE Batch,Sample Batch,IN Code (from IN (Indexing)),ENA Sample accession,IN batch (from IN (Indexing)),collaborator,geographic location (region and locality),Sample Batch 2,QualityControlGroup,QC - Library qPCR based,Indexed,Sequenced,Order,PCR group
C1_EXB0001E1L1,LIB0001,LV1040375193,C1_EXB0001,C1_EXB0001E1,L1,P027_6F,unknown,24.0,0.0,0.00,10,20,,"Gels not run
",C1_EXB0001E1L1I1,1,,77,00077,C1_EXB0001E1L1I1,,,,,,,,,,,,,,,,,,0,0.00,0.000,0.00,0,,,,C1_EXB0001E1L1I1,,INB0010,,,,Group8,Fail,1,0,,20
AD85E2L1,LIB0001,LV1040375217,AD85,AD85E2,L1,P027_6H,metagenome,24.0,166.3,6.93,20,12,,"Gels not run
","AD85E2L1I1, AD85E2L1I2",2,EHI00060,79,00079,"AD85E2L1I1,AD85E2L1I2",,,28/9/2020,29.398,-13.493,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,198.00,387.50,Unknown,SD00240,1,4.18,3.944,0.00,0,PRJEB51865,SEB001,,"AD85E2L1I1, AD85E2L1I2",SAMEA14374090,"INB0010,INB0015",Laura Gangoso,"Canary Island, Rapadura",,Group2,Fail,1,1,Falconiformes,13
AD74E1L1,LIB0001,LV1040375195,AD74,AD74E1,L1,P027_8F,metagenome,24.0,127.9,5.33,20,10,,"Gels not run
","AD74E1L1I1, AD74E1L1I2",2,EHI00065,93,00093,"AD74E1L1I1,AD74E1L1I2",,,29/9/2020,29.393,-13.500,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,223.00,430.00,Unknown,SD00257,1,2.63,2.474,0.00,0,PRJEB51865,SEB001,,"AD74E1L1I1, AD74E1L1I2",SAMEA14374092,"INB0010,INB0015",Laura Gangoso,"Canary Island, Lobos",,Group3,Warning,1,1,Falconiformes,10
AAC94E2L1,LIB0001,LV1040375171,AAC94,AAC94E2,L1,P027_8D,metagenome,24.0,231.6,9.65,20,10,,"Gels not run
","AAC94E2L1I1, AAC94E2L1I2",2,,91,00091,"AAC94E2L1I1,AAC94E2L1I2",,,27/9/2020,29.414,-13.511,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,243.00,360.00,Unknown,SD00223,0,0.00,0.000,0.00,0,PRJEB51865,,,"AAC94E2L1I1, AAC94E2L1I2",,"INB0010,INB0011",Laura Gangoso,"Canary Island, Norte",,Group1,Warning,1,0,Falconiformes,10
AAC46E1L1,LIB0001,LV1040375181,AAC46,AAC46E1,L1,P027_6E,metagenome,24.0,125.8,5.24,20,20,,"Gels not run
","AAC46E1L1I1, AAC46E1L1I2, AAC46E1L1I2",3,,76,00076,"AAC46E1L1I1,AAC46E1L1I2,AAC46E1L1I2",,,4/10/2020,29.390,-13.529,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,170.00,235.00,Unknown,SD00284,0,0.00,0.000,0.00,0,PRJEB51865,,,"AAC46E1L1I1, AAC46E1L1I2, AAC46E1L1I2",,"INB0010,INB0011,INB0015",Laura Gangoso,"Canary Island, Ladera sur",,Group3,Fail,1,0,Falconiformes,20
AAC91E2L1,LIB0001,LV1040375206,AAC91,AAC91E2,L1,P027_7G,metagenome,24.0,64.8,2.70,20,16,,"Gels not run
","AAC91E2L1I1, AAC91E2L1I2",2,EHI00047,86,00086,"AAC91E2L1I1,AAC91E2L1I2",,,27/9/2020,29.414,-13.511,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,244.00,380.00,Unknown,SD00222,1,4.07,3.734,0.00,0,PRJEB51865,SEB001,,"AAC91E2L1I1, AAC91E2L1I2",SAMEA14374087,"INB0010,INB0011",Laura Gangoso,"Canary Island, Norte",,Group6,Fail,1,1,Falconiformes,16
AAD16E2L1,LIB0001,LV1040375167,AAD16,AAD16E2,L1,P027_4D,metagenome,24.0,6.0,0.25,10,14,,"Gels not run
","AAD16E2L1I1, AAD16E2L1I2",2,EHI00052,59,00059,"AAD16E2L1I1,AAD16E2L1I2",,,27/9/2020,29.414,-13.509,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,239.00,450.00,Unknown,SD00228,1,3.61,3.241,0.00,0,PRJEB51865,SEB001,,"AAD16E2L1I1, AAD16E2L1I2",SAMEA14374089,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
AAD15E1L1,LIB0001,LV1040375169,AAD15,AAD15E1,L1,P027_6D,metagenome,24.0,22.3,0.93,10,20,,"Gels not run
","AAD15E1L1I1, AAD15E1L1I2",2,,75,00075,"AAD15E1L1I1,AAD15E1L1I2",,,27/9/2020,29.414,-13.511,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,231.00,375.00,Unknown,SD00224,0,0.00,0.000,0.00,0,PRJEB51865,,,"AAD15E1L1I1, AAD15E1L1I2",,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Fail,1,0,Falconiformes,20
AAD25E1L1,LIB0001,LV1040375207,AAD25,AAD25E1,L1,P027_8G,metagenome,24.0,146.2,6.09,20,16,,"Gels not run
","AAD25E1L1I1, AAD25E1L1I2",2,EHI00066,94,00094,"AAD25E1L1I1,AAD25E1L1I2",,,27/9/2020,29.412,-13.499,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,196.00,390.00,Unknown,SD00215,1,2.25,2.013,0.00,0,PRJEB51865,SEB001,,"AAD25E1L1I1, AAD25E1L1I2",SAMEA14374085,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group3,Fail,1,1,Falconiformes,16
AAC96E1L1,LIB0001,LV1040375148,AAC96,AAC96E1,L1,P027_9B,metagenome,24.0,3.4,0.14,10,16,,"Gels not run
","AAC96E1L1I1, AAC96E1L1I2",2,EHI00068,97,00097,"AAC96E1L1I1,AAC96E1L1I2",,,27/9/2020,29.414,-13.508,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,194.00,350.00,Unknown,SD00205,1,4.10,3.411,0.00,0,PRJEB51865,SEB001,,"AAC96E1L1I1, AAC96E1L1I2",SAMEA14374083,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
AD84E2L1,LIB0001,LV1040375205,AD84,AD84E2,L1,P027_6G,metagenome,24.0,43.9,1.83,20,20,,"Gels not run
","AD84E2L1I1, AD84E2L1I2, AD84E2L1I2",3,,78,00078,"AD84E2L1I1,AD84E2L1I2,AD84E2L1I2",,,28/9/2020,29.398,-13.493,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,223.00,395.00,Unknown,SD00238,0,0.00,0.000,0.00,0,PRJEB51865,,,"AD84E2L1I1, AD84E2L1I2, AD84E2L1I2",,"INB0010,INB0011,INB0015",Laura Gangoso,"Canary Island, Rapadura",,Group7,Fail,1,0,Falconiformes,20
AAC94E1L1,LIB0001,LV1040375179,AAC94,AAC94E1,L1,P027_4E,metagenome,6.0,354.0,59.00,50,10,,"Gels not run
","AAC94E1L1I1, AAC94E1L1I2",2,,60,00060,"AAC94E1L1I1,AAC94E1L1I2",,,27/9/2020,29.414,-13.511,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,243.00,360.00,Unknown,SD00223,0,0.00,0.000,0.00,0,PRJEB51865,,,"AAC94E1L1I1, AAC94E1L1I2",,"INB0010,INB0011",Laura Gangoso,"Canary Island, Norte",,Group1,Warning,1,0,Falconiformes,10
AD89E2L1,LIB0001,LV1040375145,AD89,AD89E2,L1,P027_6B,metagenome,24.0,132.0,5.50,20,20,,"Gels not run
","AD89E2L1I1, AD89E2L1I2",2,,73,00073,"AD89E2L1I1,AD89E2L1I2",,,28/9/2020,29.398,-13.492,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,228.00,390.00,Unknown,SD00236,0,0.00,0.000,0.00,0,PRJEB51865,,,"AD89E2L1I1, AD89E2L1I2",,"INB0010,INB0011",Laura Gangoso,"Canary Island, Rapadura",,Group3,Fail,1,0,Falconiformes,20
AAC62E2L1,LIB0001,LV1040375146,AAC62,AAC62E2,L1,P027_7B,metagenome,24.0,1.4,0.06,10,16,,"Gels not run
","AAC62E2L1I1, AAC62E2L1I2",2,EHI00062,81,00081,"AAC62E2L1I1,AAC62E2L1I2",,,30/9/2020,29.385,-13.526,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,234.00,427.50,Unknown,SD00274,1,3.67,3.183,0.00,0,PRJEB51865,SEB001,,"AAC62E2L1I1, AAC62E2L1I2",SAMEA14374093,"INB0010,INB0015",Laura Gangoso,"Canary Island, Ladera sur",,Group8,Pass,1,1,Falconiformes,16
AAB85E1L1,LIB0001,LV1040375156,AAB85,AAB85E1,L1,P027_5C,metagenome,24.0,4.6,0.19,10,16,,"Gels not run
","AAB85E1L1I1, AAB85E1L1I2",2,EHI00057,66,00066,"AAB85E1L1I1,AAB85E1L1I2",,,11/9/2020,29.414,-13.508,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,113.00,298.00,Unknown,SD00204,1,1.54,1.404,0.00,0,PRJEB51865,SEB001,,"AAB85E1L1I1, AAB85E1L1I2",SAMEA14374082,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
AAC86E2L1,LIB0001,LV1040375203,AAC86,AAC86E2,L1,P027_4G,metagenome,8.0,387.2,48.40,50,8,,"Gels not run
",AAC86E2L1I1,1,,62,00062,AAC86E2L1I1,,,27/9/2020,29.414,-13.509,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,230.00,430.00,Unknown,SD00229,0,0.00,0.000,0.00,0,PRJEB51865,,,AAC86E2L1I1,,INB0010,Laura Gangoso,"Canary Island, Norte",,Group1,Pass,1,0,Falconiformes,10
AAD25E2L1,LIB0001,LV1040375218,AAD25,AAD25E2,L1,P027_7H,metagenome,24.0,190.6,7.94,20,10,,"Gels not run
","AAD25E2L1I1, AAD25E2L1I2",2,EHI00048,87,00087,"AAD25E2L1I1,AAD25E2L1I2",,,27/9/2020,29.412,-13.499,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,196.00,390.00,Unknown,SD00215,1,0.00,0.000,0.00,0,PRJEB51865,SEB001,,"AAD25E2L1I1, AAD25E2L1I2",SAMEA14374085,"INB0010,INB0011",Laura Gangoso,"Canary Island, Norte",,Group1,Warning,1,1,Falconiformes,10
AAD16E1L1,LIB0001,LV1040375191,AAD16,AAD16E1,L1,P027_4F,metagenome,24.0,2.2,0.09,10,18,,"Gels not run
","AAD16E1L1I1, AAD16E1L1I2",2,EHI00053,61,00061,"AAD16E1L1I1,AAD16E1L1I2",,,27/9/2020,29.414,-13.509,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,239.00,450.00,Unknown,SD00228,1,2.39,2.142,0.00,0,PRJEB51865,SEB001,,"AAD16E1L1I1, AAD16E1L1I2",SAMEA14374089,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,19
AAD10E1L1,LIB0001,LV1040375136,AAD10,AAD10E1,L1,P027_9A,metagenome,24.0,144.7,6.03,20,10,,"Gels not run
","AAD10E1L1I1, AAD10E1L1I2",2,EHI00067,96,00096,"AAD10E1L1I1,AAD10E1L1I2",,,27/9/2020,29.411,-13.517,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,196.00,385.00,Unknown,SD00212,1,3.37,3.130,0.00,0,PRJEB51865,SEB001,,"AAD10E1L1I1, AAD10E1L1I2",SAMEA14374084,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group3,Warning,1,1,Falconiformes,10
AD79E1L1,LIB0001,LV1040375135,AD79,AD79E1,L1,P027_8A,metagenome,24.0,83.3,3.47,20,12,,"Gels not run
","AD79E1L1I1, AD79E1L1I2",2,EHI00049,88,00088,"AD79E1L1I1,AD79E1L1I2",,,29/9/2020,29.394,-13.500,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,259.00,415.00,Unknown,SD00254,1,2.57,2.398,0.00,0,PRJEB51865,SEB001,,"AD79E1L1I1, AD79E1L1I2",SAMEA14374091,"INB0010,INB0011",Laura Gangoso,"Canary Island, Lobos",,Group5,Warning,1,1,Falconiformes,13
AD85E1L1,LIB0001,LV1040375204,AD85,AD85E1,L1,P027_5G,metagenome,24.0,185.8,7.74,20,8,,"Gels not run
","AD85E1L1I1, AD85E1L1I2",2,EHI00059,70,00070,"AD85E1L1I1,AD85E1L1I2",,,28/9/2020,29.398,-13.493,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,198.00,387.50,Unknown,SD00240,1,2.77,2.603,0.00,0,PRJEB51865,SEB001,,"AD85E1L1I1, AD85E1L1I2",SAMEA14374090,"INB0010,INB0015",Laura Gangoso,"Canary Island, Rapadura",,Group1,Pass,1,1,Falconiformes,10
AAC46E2L1,LIB0001,LV1040375219,AAC46,AAC46E2,L1,P027_8H,metagenome,24.0,0.0,0.00,10,12,,"Gels not run
",AAC46E2L1I1,1,,95,00095,AAC46E2L1I1,,,4/10/2020,29.390,-13.529,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,170.00,235.00,Unknown,SD00284,0,0.00,0.000,0.00,0,PRJEB51865,,,AAC46E2L1I1,,INB0010,Laura Gangoso,"Canary Island, Ladera sur",,Group8,Pass,1,0,Falconiformes,13
AD81E2L1,LIB0001,LV1040375160,AD81,AD81E2,L1,P027_9C,metagenome,24.0,0.0,0.00,10,18,,Gels not not run,"AD81E2L1I1, AD81E2L1I2",2,,98,00098,"AD81E2L1I1,AD81E2L1I2",,,29/9/2020,29.395,-13.499,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,229.00,415.00,Unknown,SD00253,0,0.00,0.000,0.00,0,PRJEB51865,,,"AD81E2L1I1, AD81E2L1I2",,"INB0010,INB0015",Laura Gangoso,"Canary Island, Lobos",,Group8,Pass,1,0,Falconiformes,19
AAD10E2L1,LIB0001,LV1040375144,AAD10,AAD10E2,L1,P027_5B,metagenome,4.0,150.0,150.00,50,8,,"Gels not run
","AAD10E2L1I1, AAD10E2L1I2",2,EHI00056,65,00065,"AAD10E2L1I1,AAD10E2L1I2",,,27/9/2020,29.411,-13.517,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,196.00,385.00,Unknown,SD00212,1,2.71,2.540,0.00,0,PRJEB51865,SEB001,,"AAD10E2L1I1, AAD10E2L1I2",SAMEA14374084,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group2,Pass,1,1,Falconiformes,10
AAC83E1L1,LIB0001,LV1040375134,AAC83,AAC83E1,L1,P027_7A,metagenome,24.0,1.7,0.07,10,16,,"Gels not run
","AAC83E1L1I1, AAC83E1L1I2",2,EHI00061,80,00080,"AAC83E1L1I1,AAC83E1L1I2",,,27/9/2020,29.412,-13.499,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,211.00,420.00,Unknown,SD00216,1,3.56,3.337,0.00,0,PRJEB51865,SEB001,,"AAC83E1L1I1, AAC83E1L1I2",SAMEA14374086,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
AAC91E1L1,LIB0001,LV1040375158,AAC91,AAC91E1,L1,P027_7C,metagenome,24.0,57.6,2.40,20,12,,"Gels not run
","AAC91E1L1I1, AAC91E1L1I2",2,EHI00045,82,00082,"AAC91E1L1I1,AAC91E1L1I2",,,27/9/2020,29.414,-13.511,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,244.00,380.00,Unknown,SD00222,1,4.83,4.517,0.00,0,PRJEB51865,SEB001,,"AAC91E1L1I1, AAC91E1L1I2",SAMEA14374087,"INB0010,INB0011",Laura Gangoso,"Canary Island, Norte",,Group6,Pass,1,1,Falconiformes,13
AAB85E2L1,LIB0001,LV1040375147,AAB85,AAB85E2,L1,P027_8B,metagenome,24.0,2.9,0.12,10,16,,"Gels not run
","AAB85E2L1I1, AAB85E2L1I2",2,EHI00063,89,00089,"AAB85E2L1I1,AAB85E2L1I2",,,11/9/2020,29.414,-13.508,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,113.00,298.00,Unknown,SD00204,1,2.96,2.577,0.00,0,PRJEB51865,SEB001,,"AAB85E2L1I1, AAB85E2L1I2",SAMEA14374082,"INB0010,INB0015",Laura Gangoso,"Canary Island, Norte",,Group8,Pass,1,1,Falconiformes,16
AAC86E1L1,LIB0001,LV1040375168,AAC86,AAC86E1,L1,P027_5D,metagenome,11.0,385.0,35.00,50,8,,"Gels not run
","AAC86E1L1I1, AAC86E1L1I2, AAC86E1L1I2",3,,67,00067,"AAC86E1L1I1,AAC86E1L1I2,AAC86E1L1I2",,,27/9/2020,29.414,-13.509,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,230.00,430.00,Unknown,SD00229,0,0.00,0.000,0.00,0,PRJEB51865,,,"AAC86E1L1I1, AAC86E1L1I2, AAC86E1L1I2",,"INB0010,INB0011,INB0015",Laura Gangoso,"Canary Island, Norte",,Group1,Pass,1,0,Falconiformes,10
AD89E1L1,LIB0001,LV1040375133,AD89,AD89E1,L1,P027_6A,metagenome,24.0,141.6,5.90,20,20,,"Gels not run
","AD89E1L1I1, AD89E1L1I2",2,,72,00072,"AD89E1L1I1,AD89E1L1I2",,,28/9/2020,29.398,-13.492,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,228.00,390.00,Unknown,SD00236,0,0.00,0.000,0.00,0,PRJEB51865,,,"AD89E1L1I1, AD89E1L1I2",,"INB0010,INB0011",Laura Gangoso,"Canary Island, Rapadura",,Group3,Fail,1,0,Falconiformes,20
AAC62E1L1,LIB0001,LV1040375132,AAC62,AAC62E1,L1,P027_5A,metagenome,24.0,35.8,1.49,10,14,,"Gels not run
","AAC62E1L1I1, AAC62E1L1I2",2,EHI00055,64,00064,"AAC62E1L1I1,AAC62E1L1I2",,,30/9/2020,29.385,-13.526,Spain,1000048 - Ocean,Island,Anal/cloacal swab,Falco eleonorae,495946,Eleonora's falcon ,Juvenile,234.00,427.50,Unknown,SD00274,1,2.69,2.400,0.00,0,PRJEB51865,SEB001,,"AAC62E1L1I1, AAC62E1L1I2",SAMEA14374093,"INB0010,INB0015",Laura Gangoso,"Canary Island, Ladera sur",,Group7,Pass,1,1,Falconiformes,16
